writer_id,total_samples,n_classes,train_samples,test_samples,label_histogram
f0013_38,329,57,263,66,"{""0"": 9, ""1"": 12, ""2"": 12, ""3"": 11, ""4"": 12, ""5"": 9, ""6"": 11, ""7"": 10, ""8"": 8, ""9"": 9, ""10"": 5, ""11"": 1, ""12"": 13, ""13"": 3, ""14"": 1, ""15"": 7, ""17"": 1, ""18"": 8, ""19"": 1, ""20"": 1, ""21"": 1, ""22"": 4, ""23"": 7, ""24"": 20, ""25"": 4, ""26"": 1, ""27"": 1, ""28"": 15, ""29"": 3, ""30"": 9, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 1, ""36"": 5, ""37"": 3, ""38"": 1, ""39"": 5, ""40"": 19, ""41"": 1, ""42"": 2, ""43"": 11, ""44"": 1, ""46"": 1, ""47"": 17, ""49"": 4, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 13, ""54"": 1, ""55"": 18, ""57"": 1, ""58"": 2, ""59"": 1, ""60"": 1, ""61"": 1}"
f0014_19,378,57,302,76,"{""0"": 13, ""1"": 12, ""2"": 11, ""3"": 12, ""4"": 13, ""5"": 11, ""6"": 11, ""7"": 11, ""8"": 13, ""9"": 13, ""10"": 3, ""11"": 1, ""12"": 9, ""13"": 1, ""14"": 1, ""15"": 4, ""17"": 1, ""18"": 6, ""19"": 2, ""20"": 1, ""21"": 7, ""22"": 7, ""23"": 9, ""24"": 19, ""25"": 7, ""26"": 1, ""27"": 2, ""28"": 22, ""29"": 4, ""30"": 12, ""31"": 2, ""32"": 3, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 9, ""37"": 4, ""38"": 1, ""39"": 8, ""40"": 31, ""41"": 1, ""42"": 2, ""43"": 3, ""46"": 1, ""47"": 27, ""48"": 1, ""49"": 4, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 19, ""54"": 1, ""55"": 9, ""57"": 2, ""58"": 1, ""59"": 1, ""61"": 1}"
f0015_48,370,62,296,74,"{""0"": 12, ""1"": 9, ""2"": 10, ""3"": 8, ""4"": 8, ""5"": 9, ""6"": 11, ""7"": 11, ""8"": 12, ""9"": 11, ""10"": 2, ""11"": 2, ""12"": 5, ""13"": 2, ""14"": 9, ""15"": 10, ""16"": 1, ""17"": 1, ""18"": 7, ""19"": 2, ""20"": 1, ""21"": 1, ""22"": 6, ""23"": 3, ""24"": 20, ""25"": 6, ""26"": 1, ""27"": 1, ""28"": 20, ""29"": 2, ""30"": 10, ""31"": 4, ""32"": 2, ""33"": 1, ""34"": 2, ""35"": 1, ""36"": 9, ""37"": 4, ""38"": 1, ""39"": 11, ""40"": 25, ""41"": 1, ""42"": 2, ""43"": 7, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 25, ""48"": 1, ""49"": 16, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 18, ""54"": 1, ""55"": 13, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
f0016_39,312,52,250,62,"{""0"": 10, ""1"": 12, ""2"": 5, ""3"": 8, ""4"": 11, ""5"": 11, ""6"": 10, ""7"": 8, ""8"": 11, ""9"": 8, ""10"": 1, ""11"": 1, ""12"": 7, ""13"": 1, ""14"": 1, ""15"": 7, ""16"": 1, ""17"": 1, ""18"": 8, ""20"": 1, ""21"": 2, ""22"": 7, ""23"": 5, ""24"": 17, ""25"": 4, ""28"": 13, ""29"": 4, ""30"": 6, ""31"": 8, ""34"": 2, ""35"": 1, ""36"": 9, ""37"": 2, ""38"": 1, ""39"": 8, ""40"": 20, ""42"": 3, ""43"": 4, ""44"": 2, ""46"": 1, ""47"": 26, ""49"": 7, ""50"": 1, ""52"": 1, ""53"": 15, ""54"": 1, ""55"": 14, ""56"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
f0017_07,424,61,339,85,"{""0"": 13, ""1"": 14, ""2"": 12, ""3"": 13, ""4"": 11, ""5"": 11, ""6"": 12, ""7"": 12, ""8"": 13, ""9"": 11, ""10"": 2, ""11"": 2, ""12"": 9, ""13"": 2, ""14"": 1, ""15"": 10, ""16"": 1, ""17"": 1, ""18"": 9, ""19"": 3, ""20"": 1, ""21"": 2, ""22"": 6, ""23"": 3, ""24"": 25, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 22, ""29"": 5, ""30"": 12, ""31"": 4, ""32"": 2, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 14, ""37"": 3, ""38"": 1, ""39"": 11, ""40"": 38, ""41"": 1, ""42"": 2, ""43"": 11, ""44"": 2, ""45"": 1, ""46"": 1, ""47"": 10, ""48"": 1, ""49"": 13, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 19, ""54"": 1, ""55"": 26, ""56"": 2, ""57"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
f0018_13,383,60,306,77,"{""0"": 10, ""1"": 12, ""2"": 11, ""3"": 12, ""4"": 10, ""5"": 9, ""6"": 11, ""7"": 10, ""8"": 11, ""9"": 13, ""10"": 13, ""11"": 4, ""12"": 13, ""13"": 6, ""14"": 20, ""15"": 6, ""16"": 1, ""17"": 10, ""18"": 12, ""19"": 1, ""20"": 1, ""21"": 11, ""22"": 7, ""23"": 5, ""24"": 25, ""25"": 6, ""27"": 11, ""28"": 19, ""29"": 13, ""30"": 9, ""31"": 4, ""32"": 3, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 1, ""37"": 1, ""38"": 1, ""39"": 1, ""40"": 3, ""41"": 1, ""42"": 3, ""43"": 1, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 31, ""48"": 1, ""49"": 11, ""50"": 1, ""51"": 1, ""53"": 1, ""54"": 1, ""55"": 1, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
f0019_38,377,61,302,75,"{""0"": 12, ""1"": 13, ""2"": 11, ""3"": 13, ""4"": 13, ""5"": 10, ""6"": 11, ""7"": 13, ""8"": 11, ""9"": 12, ""10"": 4, ""11"": 2, ""12"": 6, ""13"": 3, ""14"": 1, ""15"": 6, ""16"": 1, ""17"": 1, ""18"": 13, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 4, ""24"": 17, ""25"": 7, ""26"": 1, ""27"": 8, ""28"": 21, ""29"": 4, ""30"": 11, ""31"": 1, ""32"": 2, ""33"": 1, ""34"": 2, ""35"": 1, ""36"": 9, ""37"": 4, ""38"": 1, ""39"": 8, ""40"": 29, ""41"": 1, ""42"": 1, ""43"": 6, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 22, ""48"": 1, ""49"": 11, ""51"": 1, ""52"": 2, ""53"": 4, ""54"": 1, ""55"": 18, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
f0020_08,371,54,297,74,"{""0"": 11, ""1"": 12, ""2"": 10, ""3"": 12, ""4"": 9, ""5"": 7, ""6"": 7, ""7"": 11, ""8"": 9, ""9"": 12, ""10"": 1, ""11"": 2, ""12"": 9, ""13"": 2, ""15"": 6, ""16"": 1, ""18"": 6, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 7, ""24"": 22, ""25"": 7, ""26"": 1, ""27"": 3, ""28"": 20, ""29"": 1, ""30"": 9, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 2, ""36"": 13, ""37"": 3, ""38"": 1, ""39"": 7, ""40"": 32, ""41"": 1, ""42"": 2, ""43"": 6, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 30, ""49"": 10, ""50"": 1, ""52"": 1, ""53"": 16, ""54"": 1, ""55"": 22, ""56"": 1, ""58"": 1, ""59"": 1}"
f0021_34,292,60,234,58,"{""0"": 13, ""1"": 13, ""2"": 12, ""3"": 10, ""4"": 12, ""5"": 12, ""6"": 13, ""7"": 13, ""8"": 13, ""9"": 13, ""11"": 2, ""12"": 5, ""13"": 2, ""14"": 1, ""15"": 4, ""16"": 1, ""17"": 1, ""18"": 7, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 3, ""23"": 1, ""24"": 12, ""25"": 6, ""26"": 1, ""27"": 1, ""28"": 14, ""29"": 2, ""30"": 9, ""31"": 3, ""32"": 3, ""33"": 1, ""35"": 1, ""36"": 5, ""37"": 2, ""38"": 1, ""39"": 3, ""40"": 7, ""41"": 1, ""42"": 3, ""43"": 6, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 14, ""48"": 1, ""49"": 10, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 13, ""54"": 1, ""55"": 3, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
f0022_10,334,56,267,67,"{""0"": 8, ""1"": 12, ""2"": 9, ""3"": 9, ""4"": 13, ""5"": 6, ""6"": 9, ""7"": 13, ""8"": 12, ""9"": 8, ""10"": 2, ""11"": 1, ""12"": 4, ""13"": 2, ""14"": 1, ""15"": 6, ""17"": 1, ""18"": 10, ""19"": 1, ""20"": 1, ""21"": 2, ""22"": 6, ""23"": 17, ""24"": 19, ""25"": 4, ""26"": 1, ""28"": 11, ""29"": 5, ""30"": 11, ""31"": 2, ""32"": 2, ""33"": 1, ""34"": 2, ""35"": 1, ""36"": 7, ""37"": 2, ""38"": 1, ""39"": 6, ""40"": 24, ""41"": 1, ""42"": 2, ""43"": 9, ""44"": 2, ""46"": 1, ""47"": 19, ""48"": 1, ""49"": 1, ""50"": 2, ""53"": 17, ""54"": 1, ""55"": 20, ""56"": 1, ""57"": 2, ""58"": 1, ""59"": 1, ""61"": 1}"
f0023_08,418,59,334,84,"{""0"": 13, ""1"": 12, ""2"": 12, ""3"": 12, ""4"": 13, ""5"": 10, ""6"": 12, ""7"": 12, ""8"": 10, ""9"": 12, ""10"": 1, ""11"": 2, ""12"": 8, ""13"": 1, ""14"": 1, ""15"": 10, ""16"": 1, ""17"": 1, ""18"": 7, ""19"": 3, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 3, ""24"": 26, ""25"": 6, ""26"": 1, ""27"": 1, ""28"": 20, ""29"": 12, ""30"": 11, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 2, ""35"": 1, ""36"": 14, ""37"": 3, ""39"": 8, ""40"": 32, ""42"": 3, ""43"": 10, ""44"": 1, ""46"": 1, ""47"": 26, ""48"": 1, ""49"": 16, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 20, ""54"": 1, ""55"": 19, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
f0024_24,374,61,299,75,"{""0"": 11, ""1"": 13, ""2"": 11, ""3"": 8, ""4"": 10, ""5"": 6, ""6"": 9, ""7"": 12, ""8"": 13, ""9"": 10, ""10"": 3, ""11"": 2, ""12"": 7, ""13"": 2, ""14"": 4, ""15"": 9, ""16"": 1, ""17"": 1, ""18"": 17, ""19"": 1, ""20"": 1, ""21"": 2, ""22"": 6, ""23"": 9, ""24"": 18, ""25"": 6, ""26"": 1, ""27"": 10, ""28"": 18, ""29"": 4, ""30"": 9, ""31"": 3, ""32"": 2, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 8, ""37"": 4, ""38"": 1, ""39"": 8, ""40"": 31, ""41"": 1, ""42"": 2, ""43"": 4, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 20, ""48"": 1, ""49"": 11, ""50"": 1, ""51"": 1, ""52"": 3, ""53"": 9, ""55"": 16, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
f0025_13,317,62,254,63,"{""0"": 7, ""1"": 10, ""2"": 7, ""3"": 10, ""4"": 4, ""5"": 8, ""6"": 8, ""7"": 9, ""8"": 6, ""9"": 7, ""10"": 2, ""11"": 2, ""12"": 4, ""13"": 2, ""14"": 1, ""15"": 6, ""16"": 1, ""17"": 1, ""18"": 16, ""19"": 2, ""20"": 1, ""21"": 1, ""22"": 8, ""23"": 3, ""24"": 19, ""25"": 6, ""26"": 1, ""27"": 2, ""28"": 19, ""29"": 4, ""30"": 8, ""31"": 1, ""32"": 2, ""33"": 1, ""34"": 2, ""35"": 1, ""36"": 6, ""37"": 2, ""38"": 1, ""39"": 5, ""40"": 27, ""41"": 1, ""42"": 1, ""43"": 10, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 15, ""48"": 1, ""49"": 10, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 16, ""54"": 1, ""55"": 16, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
f0026_17,363,61,290,73,"{""0"": 11, ""1"": 12, ""2"": 7, ""3"": 13, ""4"": 11, ""5"": 8, ""6"": 10, ""7"": 10, ""8"": 10, ""9"": 11, ""10"": 12, ""11"": 5, ""12"": 4, ""13"": 11, ""14"": 25, ""15"": 9, ""17"": 8, ""18"": 8, ""19"": 2, ""20"": 1, ""21"": 5, ""22"": 8, ""23"": 16, ""24"": 22, ""25"": 6, ""26"": 1, ""27"": 18, ""28"": 15, ""29"": 12, ""30"": 6, ""31"": 8, ""32"": 4, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 1, ""37"": 1, ""38"": 1, ""39"": 1, ""40"": 1, ""41"": 1, ""42"": 1, ""43"": 1, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 22, ""48"": 1, ""49"": 1, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 2, ""54"": 1, ""55"": 1, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
f0027_29,446,58,357,89,"{""0"": 13, ""1"": 13, ""2"": 13, ""3"": 12, ""4"": 11, ""5"": 12, ""6"": 13, ""7"": 13, ""8"": 12, ""9"": 13, ""10"": 13, ""11"": 2, ""12"": 8, ""13"": 3, ""14"": 3, ""15"": 10, ""17"": 3, ""18"": 17, ""19"": 1, ""20"": 1, ""21"": 3, ""22"": 8, ""23"": 7, ""24"": 26, ""25"": 7, ""27"": 17, ""28"": 22, ""29"": 13, ""30"": 11, ""31"": 4, ""32"": 3, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 4, ""37"": 4, ""39"": 10, ""40"": 38, ""41"": 1, ""42"": 3, ""43"": 10, ""44"": 2, ""45"": 1, ""46"": 1, ""47"": 19, ""48"": 1, ""49"": 8, ""50"": 2, ""51"": 1, ""52"": 2, ""53"": 3, ""54"": 1, ""55"": 18, ""56"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
