client_index,writer_id,total_samples,n_classes,train_samples,test_samples,label_histogram
10,f0405_20,345,60,276,69,"{""0"": 13, ""1"": 12, ""2"": 13, ""3"": 11, ""4"": 10, ""5"": 12, ""6"": 11, ""7"": 11, ""8"": 12, ""9"": 12, ""10"": 2, ""11"": 1, ""12"": 6, ""13"": 2, ""14"": 1, ""15"": 4, ""16"": 1, ""17"": 1, ""18"": 12, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 3, ""24"": 16, ""25"": 6, ""26"": 1, ""27"": 1, ""28"": 17, ""29"": 5, ""30"": 11, ""31"": 3, ""32"": 2, ""33"": 1, ""34"": 2, ""35"": 1, ""36"": 9, ""37"": 3, ""38"": 1, ""39"": 7, ""40"": 21, ""41"": 1, ""42"": 3, ""43"": 5, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 12, ""48"": 1, ""49"": 12, ""51"": 1, ""53"": 14, ""54"": 1, ""55"": 16, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
11,f0415_28,384,58,307,77,"{""0"": 13, ""1"": 14, ""2"": 13, ""3"": 13, ""4"": 13, ""5"": 13, ""6"": 13, ""7"": 12, ""8"": 13, ""9"": 12, ""10"": 2, ""11"": 2, ""12"": 13, ""13"": 2, ""14"": 1, ""15"": 8, ""16"": 1, ""17"": 1, ""18"": 11, ""19"": 2, ""20"": 1, ""21"": 1, ""22"": 7, ""23"": 3, ""24"": 22, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 14, ""29"": 5, ""30"": 9, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 9, ""37"": 4, ""38"": 1, ""39"": 10, ""40"": 33, ""41"": 1, ""42"": 2, ""43"": 3, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 16, ""49"": 9, ""50"": 1, ""52"": 3, ""53"": 16, ""54"": 1, ""55"": 14, ""56"": 1, ""58"": 1, ""59"": 1, ""60"": 1}"
12,f0445_46,402,58,322,80,"{""0"": 12, ""1"": 12, ""2"": 11, ""3"": 12, ""4"": 12, ""5"": 11, ""6"": 12, ""7"": 12, ""8"": 11, ""9"": 10, ""10"": 2, ""11"": 2, ""12"": 9, ""13"": 2, ""14"": 1, ""15"": 10, ""16"": 1, ""17"": 1, ""18"": 10, ""19"": 1, ""21"": 2, ""22"": 8, ""23"": 1, ""24"": 23, ""25"": 6, ""26"": 1, ""28"": 21, ""29"": 1, ""30"": 14, ""31"": 2, ""32"": 3, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 11, ""37"": 3, ""39"": 11, ""40"": 35, ""41"": 1, ""42"": 1, ""43"": 7, ""44"": 2, ""46"": 1, ""47"": 17, ""48"": 1, ""49"": 13, ""50"": 1, ""51"": 1, ""52"": 5, ""53"": 20, ""54"": 1, ""55"": 23, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
13,f0520_25,327,59,262,65,"{""0"": 12, ""1"": 11, ""2"": 10, ""3"": 7, ""4"": 8, ""5"": 8, ""6"": 13, ""7"": 10, ""8"": 11, ""9"": 8, ""10"": 3, ""11"": 2, ""12"": 10, ""13"": 2, ""14"": 8, ""15"": 7, ""16"": 1, ""17"": 1, ""18"": 15, ""19"": 2, ""20"": 1, ""21"": 3, ""22"": 6, ""23"": 6, ""24"": 17, ""25"": 7, ""26"": 1, ""28"": 16, ""29"": 15, ""30"": 10, ""31"": 4, ""32"": 2, ""34"": 4, ""35"": 1, ""36"": 4, ""37"": 4, ""38"": 1, ""39"": 7, ""40"": 3, ""41"": 1, ""42"": 2, ""43"": 9, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 7, ""48"": 1, ""49"": 10, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 12, ""54"": 1, ""55"": 12, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""61"": 1}"
14,f0521_14,385,51,308,77,"{""0"": 11, ""1"": 13, ""2"": 13, ""3"": 12, ""4"": 11, ""5"": 12, ""6"": 12, ""7"": 13, ""8"": 12, ""9"": 13, ""10"": 1, ""11"": 1, ""12"": 7, ""13"": 1, ""15"": 8, ""18"": 14, ""19"": 1, ""21"": 3, ""22"": 7, ""23"": 3, ""24"": 24, ""25"": 6, ""28"": 20, ""29"": 3, ""30"": 11, ""31"": 1, ""32"": 2, ""34"": 3, ""36"": 13, ""37"": 4, ""38"": 1, ""39"": 10, ""40"": 34, ""41"": 1, ""42"": 3, ""43"": 10, ""45"": 1, ""47"": 6, ""48"": 1, ""49"": 12, ""50"": 1, ""52"": 1, ""53"": 18, ""54"": 1, ""55"": 24, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
15,f0568_00,358,58,286,72,"{""0"": 12, ""1"": 13, ""2"": 11, ""3"": 8, ""4"": 12, ""5"": 11, ""6"": 12, ""7"": 13, ""8"": 12, ""9"": 11, ""10"": 2, ""11"": 2, ""12"": 6, ""13"": 2, ""14"": 2, ""15"": 6, ""16"": 1, ""17"": 1, ""18"": 3, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 6, ""23"": 1, ""24"": 20, ""25"": 7, ""26"": 1, ""27"": 2, ""28"": 13, ""29"": 1, ""30"": 11, ""31"": 2, ""32"": 2, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 13, ""37"": 3, ""38"": 1, ""39"": 11, ""40"": 29, ""41"": 1, ""43"": 9, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 8, ""48"": 1, ""49"": 17, ""51"": 1, ""52"": 1, ""53"": 14, ""55"": 25, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""61"": 1}"
16,f0579_26,166,42,133,33,"{""0"": 11, ""1"": 10, ""2"": 12, ""3"": 10, ""4"": 10, ""5"": 9, ""6"": 8, ""7"": 8, ""8"": 10, ""9"": 7, ""11"": 1, ""12"": 1, ""13"": 2, ""14"": 2, ""16"": 1, ""18"": 1, ""23"": 2, ""24"": 9, ""25"": 5, ""28"": 4, ""30"": 8, ""31"": 3, ""32"": 4, ""36"": 1, ""37"": 1, ""39"": 3, ""40"": 3, ""42"": 1, ""43"": 2, ""44"": 1, ""45"": 1, ""46"": 2, ""47"": 1, ""48"": 1, ""51"": 1, ""52"": 3, ""54"": 1, ""55"": 1, ""56"": 2, ""57"": 1, ""58"": 1, ""61"": 1}"
17,f0591_27,326,58,261,65,"{""0"": 13, ""1"": 13, ""2"": 13, ""3"": 12, ""4"": 13, ""5"": 12, ""6"": 12, ""7"": 12, ""8"": 10, ""9"": 12, ""10"": 2, ""11"": 2, ""12"": 9, ""13"": 1, ""14"": 1, ""15"": 8, ""16"": 1, ""17"": 1, ""18"": 4, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 7, ""23"": 2, ""24"": 19, ""25"": 6, ""26"": 1, ""28"": 12, ""29"": 3, ""30"": 12, ""31"": 1, ""32"": 3, ""33"": 1, ""34"": 4, ""36"": 9, ""37"": 2, ""38"": 1, ""39"": 7, ""40"": 25, ""41"": 1, ""42"": 1, ""43"": 3, ""45"": 1, ""46"": 1, ""47"": 4, ""48"": 1, ""49"": 6, ""50"": 1, ""51"": 1, ""52"": 3, ""53"": 14, ""54"": 1, ""55"": 12, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1}"
18,f0644_19,436,61,349,87,"{""0"": 13, ""1"": 11, ""2"": 13, ""3"": 13, ""4"": 13, ""5"": 13, ""6"": 13, ""7"": 13, ""8"": 12, ""9"": 12, ""10"": 2, ""11"": 2, ""12"": 10, ""13"": 2, ""14"": 1, ""15"": 10, ""16"": 1, ""18"": 10, ""19"": 2, ""20"": 1, ""21"": 1, ""22"": 8, ""23"": 3, ""24"": 26, ""25"": 7, ""26"": 1, ""27"": 2, ""28"": 22, ""29"": 1, ""30"": 11, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 13, ""37"": 3, ""38"": 1, ""39"": 10, ""40"": 37, ""41"": 1, ""42"": 3, ""43"": 9, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 25, ""48"": 1, ""49"": 15, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 18, ""54"": 1, ""55"": 25, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
19,f0732_46,248,49,198,50,"{""0"": 8, ""1"": 9, ""2"": 6, ""3"": 6, ""4"": 8, ""5"": 7, ""6"": 12, ""7"": 11, ""8"": 9, ""9"": 10, ""10"": 6, ""11"": 2, ""12"": 5, ""14"": 1, ""15"": 3, ""18"": 2, ""20"": 1, ""21"": 1, ""22"": 7, ""23"": 12, ""24"": 16, ""25"": 6, ""26"": 1, ""27"": 9, ""28"": 9, ""29"": 4, ""30"": 10, ""31"": 3, ""32"": 3, ""34"": 1, ""35"": 1, ""36"": 1, ""37"": 3, ""38"": 1, ""39"": 8, ""40"": 19, ""41"": 1, ""43"": 4, ""44"": 1, ""47"": 8, ""48"": 1, ""50"": 1, ""51"": 1, ""52"": 1, ""55"": 5, ""57"": 1, ""58"": 1, ""60"": 1, ""61"": 1}"
20,f0743_31,425,58,340,85,"{""0"": 13, ""1"": 13, ""2"": 13, ""3"": 13, ""4"": 13, ""5"": 13, ""6"": 12, ""7"": 13, ""8"": 12, ""9"": 13, ""10"": 14, ""11"": 4, ""12"": 8, ""13"": 11, ""14"": 7, ""15"": 10, ""16"": 1, ""17"": 7, ""18"": 17, ""19"": 2, ""21"": 4, ""22"": 8, ""23"": 10, ""24"": 27, ""25"": 7, ""26"": 1, ""27"": 19, ""28"": 22, ""29"": 24, ""30"": 10, ""31"": 3, ""32"": 3, ""34"": 3, ""35"": 1, ""36"": 1, ""37"": 1, ""38"": 1, ""39"": 1, ""40"": 30, ""41"": 1, ""42"": 1, ""43"": 10, ""44"": 2, ""47"": 7, ""48"": 1, ""49"": 1, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 2, ""54"": 1, ""55"": 5, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
21,f0798_05,290,59,232,58,"{""0"": 10, ""1"": 12, ""2"": 10, ""3"": 11, ""4"": 8, ""5"": 5, ""6"": 9, ""7"": 9, ""8"": 9, ""9"": 9, ""10"": 10, ""11"": 2, ""12"": 7, ""13"": 2, ""14"": 1, ""15"": 6, ""16"": 1, ""17"": 1, ""18"": 10, ""19"": 1, ""20"": 1, ""21"": 1, ""22"": 8, ""23"": 2, ""24"": 18, ""25"": 5, ""26"": 1, ""27"": 1, ""28"": 18, ""29"": 5, ""30"": 8, ""31"": 5, ""32"": 3, ""33"": 1, ""34"": 1, ""35"": 1, ""36"": 2, ""37"": 4, ""38"": 1, ""39"": 9, ""40"": 1, ""41"": 1, ""42"": 1, ""43"": 5, ""47"": 9, ""48"": 1, ""49"": 16, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 6, ""54"": 1, ""55"": 11, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
22,f0843_06,414,61,331,83,"{""0"": 11, ""1"": 13, ""2"": 13, ""3"": 13, ""4"": 13, ""5"": 11, ""6"": 13, ""7"": 13, ""8"": 13, ""9"": 12, ""10"": 2, ""11"": 2, ""12"": 8, ""13"": 2, ""14"": 1, ""15"": 9, ""16"": 1, ""17"": 1, ""18"": 10, ""19"": 2, ""20"": 1, ""21"": 1, ""22"": 8, ""23"": 2, ""24"": 26, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 22, ""29"": 5, ""30"": 12, ""31"": 2, ""32"": 3, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 14, ""37"": 4, ""38"": 1, ""39"": 11, ""40"": 32, ""41"": 1, ""42"": 4, ""43"": 11, ""44"": 1, ""46"": 1, ""47"": 8, ""48"": 1, ""49"": 15, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 14, ""54"": 1, ""55"": 27, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
23,f0855_46,270,55,216,54,"{""0"": 13, ""1"": 16, ""2"": 9, ""3"": 9, ""4"": 9, ""5"": 7, ""6"": 11, ""7"": 12, ""8"": 12, ""9"": 9, ""10"": 2, ""11"": 2, ""12"": 4, ""13"": 1, ""14"": 1, ""15"": 1, ""17"": 1, ""18"": 12, ""19"": 1, ""22"": 2, ""23"": 1, ""24"": 14, ""25"": 2, ""28"": 10, ""29"": 8, ""30"": 6, ""31"": 1, ""34"": 2, ""35"": 1, ""36"": 5, ""37"": 3, ""38"": 1, ""39"": 7, ""40"": 18, ""41"": 1, ""42"": 3, ""43"": 5, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 16, ""48"": 1, ""49"": 4, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 5, ""54"": 1, ""55"": 9, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
24,f0898_29,369,60,295,74,"{""0"": 12, ""1"": 12, ""2"": 12, ""3"": 12, ""4"": 11, ""5"": 10, ""6"": 12, ""7"": 13, ""8"": 13, ""9"": 11, ""10"": 14, ""11"": 5, ""12"": 8, ""13"": 4, ""14"": 3, ""15"": 7, ""16"": 1, ""17"": 8, ""18"": 9, ""19"": 2, ""20"": 1, ""21"": 3, ""22"": 8, ""23"": 14, ""24"": 28, ""25"": 7, ""26"": 1, ""27"": 18, ""28"": 19, ""29"": 18, ""30"": 9, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 1, ""37"": 1, ""39"": 1, ""40"": 23, ""41"": 1, ""42"": 1, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 6, ""48"": 1, ""49"": 1, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 1, ""54"": 1, ""55"": 2, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
25,f0912_01,357,61,286,71,"{""0"": 11, ""1"": 12, ""2"": 10, ""3"": 12, ""4"": 11, ""5"": 10, ""6"": 11, ""7"": 11, ""8"": 12, ""9"": 13, ""11"": 2, ""12"": 6, ""13"": 1, ""14"": 1, ""15"": 5, ""16"": 1, ""17"": 1, ""18"": 8, ""19"": 2, ""20"": 1, ""21"": 1, ""22"": 7, ""23"": 3, ""24"": 23, ""25"": 5, ""26"": 1, ""27"": 1, ""28"": 14, ""29"": 3, ""30"": 10, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 11, ""37"": 4, ""38"": 1, ""39"": 10, ""40"": 24, ""41"": 1, ""42"": 2, ""43"": 6, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 11, ""48"": 1, ""49"": 14, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 19, ""54"": 1, ""55"": 18, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
26,f0953_15,265,61,212,53,"{""0"": 13, ""1"": 13, ""2"": 13, ""3"": 13, ""4"": 13, ""5"": 12, ""6"": 13, ""7"": 13, ""8"": 13, ""9"": 9, ""10"": 2, ""11"": 1, ""12"": 10, ""13"": 1, ""14"": 1, ""15"": 2, ""16"": 1, ""17"": 1, ""18"": 5, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 3, ""23"": 2, ""24"": 9, ""25"": 5, ""26"": 1, ""27"": 1, ""28"": 11, ""29"": 5, ""30"": 8, ""31"": 1, ""32"": 3, ""33"": 1, ""34"": 1, ""35"": 1, ""36"": 3, ""37"": 4, ""38"": 1, ""39"": 4, ""40"": 1, ""41"": 1, ""42"": 1, ""43"": 4, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 3, ""48"": 1, ""49"": 1, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 10, ""54"": 1, ""55"": 13, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
27,f0957_15,334,60,267,67,"{""0"": 13, ""1"": 13, ""2"": 13, ""3"": 13, ""4"": 13, ""5"": 13, ""6"": 13, ""7"": 13, ""8"": 13, ""9"": 13, ""10"": 2, ""11"": 2, ""12"": 9, ""13"": 2, ""14"": 1, ""15"": 5, ""16"": 1, ""17"": 1, ""18"": 5, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 3, ""24"": 20, ""25"": 6, ""26"": 1, ""27"": 1, ""28"": 14, ""29"": 5, ""30"": 9, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 11, ""37"": 3, ""38"": 1, ""39"": 9, ""40"": 4, ""41"": 1, ""42"": 2, ""43"": 3, ""44"": 1, ""46"": 1, ""47"": 8, ""48"": 1, ""49"": 12, ""51"": 1, ""52"": 1, ""53"": 13, ""54"": 1, ""55"": 14, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
28,f0977_37,370,59,296,74,"{""0"": 12, ""1"": 10, ""2"": 13, ""3"": 10, ""4"": 11, ""5"": 8, ""6"": 11, ""7"": 9, ""8"": 8, ""9"": 12, ""10"": 1, ""11"": 2, ""12"": 7, ""13"": 2, ""14"": 1, ""15"": 8, ""16"": 1, ""17"": 1, ""18"": 14, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 4, ""23"": 17, ""24"": 21, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 21, ""29"": 5, ""30"": 9, ""31"": 5, ""32"": 3, ""33"": 1, ""34"": 1, ""35"": 1, ""36"": 12, ""37"": 3, ""38"": 1, ""39"": 11, ""40"": 34, ""41"": 1, ""42"": 3, ""43"": 5, ""44"": 1, ""46"": 1, ""47"": 10, ""48"": 1, ""49"": 1, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 19, ""54"": 1, ""55"": 15, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1}"
