client_index,writer_id,total_samples,n_classes,train_samples,test_samples,label_histogram
10,f0312_43,416,60,333,83,"{""0"": 11, ""1"": 13, ""2"": 13, ""3"": 13, ""4"": 13, ""5"": 11, ""6"": 13, ""7"": 13, ""8"": 12, ""9"": 12, ""10"": 5, ""11"": 2, ""12"": 6, ""13"": 2, ""15"": 5, ""16"": 1, ""17"": 1, ""18"": 13, ""19"": 2, ""20"": 1, ""21"": 1, ""22"": 8, ""23"": 4, ""24"": 20, ""25"": 6, ""26"": 1, ""27"": 12, ""28"": 22, ""29"": 3, ""30"": 11, ""31"": 2, ""32"": 3, ""34"": 5, ""35"": 1, ""36"": 10, ""37"": 4, ""38"": 1, ""39"": 11, ""40"": 35, ""41"": 1, ""42"": 3, ""43"": 8, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 23, ""48"": 1, ""49"": 15, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 8, ""54"": 1, ""55"": 21, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
11,f0339_11,331,56,265,66,"{""0"": 10, ""1"": 11, ""2"": 12, ""3"": 12, ""4"": 7, ""5"": 8, ""6"": 5, ""7"": 8, ""8"": 13, ""9"": 11, ""10"": 1, ""11"": 2, ""12"": 4, ""13"": 4, ""14"": 1, ""15"": 7, ""16"": 1, ""17"": 1, ""18"": 11, ""19"": 2, ""20"": 1, ""21"": 1, ""22"": 8, ""23"": 3, ""24"": 16, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 21, ""29"": 3, ""30"": 10, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 2, ""35"": 1, ""36"": 7, ""37"": 2, ""39"": 10, ""40"": 28, ""42"": 1, ""43"": 6, ""44"": 1, ""46"": 1, ""47"": 14, ""48"": 1, ""49"": 10, ""50"": 1, ""52"": 4, ""53"": 11, ""54"": 1, ""55"": 16, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1}"
12,f0378_12,215,51,172,43,"{""0"": 10, ""1"": 13, ""2"": 11, ""3"": 13, ""4"": 7, ""5"": 10, ""6"": 12, ""7"": 9, ""8"": 7, ""9"": 8, ""10"": 4, ""12"": 6, ""14"": 1, ""15"": 8, ""16"": 1, ""17"": 3, ""18"": 9, ""19"": 5, ""20"": 1, ""21"": 6, ""23"": 2, ""24"": 10, ""25"": 1, ""26"": 1, ""27"": 1, ""28"": 5, ""29"": 2, ""30"": 3, ""31"": 3, ""32"": 1, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 1, ""37"": 1, ""39"": 3, ""40"": 5, ""41"": 1, ""42"": 1, ""44"": 1, ""46"": 1, ""47"": 10, ""50"": 1, ""53"": 1, ""54"": 1, ""55"": 5, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
13,f0411_01,252,57,202,50,"{""0"": 7, ""1"": 10, ""2"": 7, ""3"": 9, ""4"": 9, ""5"": 4, ""6"": 6, ""7"": 9, ""8"": 7, ""9"": 5, ""10"": 11, ""11"": 4, ""12"": 5, ""13"": 6, ""14"": 18, ""15"": 5, ""16"": 1, ""17"": 7, ""18"": 11, ""19"": 2, ""20"": 1, ""21"": 5, ""22"": 3, ""23"": 12, ""24"": 11, ""25"": 1, ""26"": 1, ""27"": 5, ""28"": 5, ""29"": 6, ""30"": 8, ""31"": 4, ""32"": 3, ""33"": 1, ""34"": 2, ""35"": 1, ""36"": 1, ""37"": 1, ""38"": 1, ""39"": 1, ""40"": 1, ""42"": 1, ""43"": 1, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 16, ""49"": 2, ""50"": 1, ""51"": 1, ""53"": 2, ""54"": 1, ""55"": 3, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
14,f0443_21,417,59,334,83,"{""0"": 13, ""1"": 12, ""2"": 12, ""3"": 13, ""4"": 12, ""5"": 12, ""6"": 11, ""7"": 11, ""8"": 12, ""9"": 12, ""10"": 1, ""11"": 2, ""12"": 8, ""13"": 1, ""14"": 1, ""15"": 8, ""16"": 1, ""17"": 1, ""18"": 7, ""19"": 5, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 3, ""24"": 26, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 21, ""29"": 4, ""30"": 11, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 12, ""37"": 3, ""38"": 1, ""39"": 11, ""40"": 39, ""41"": 1, ""42"": 3, ""43"": 9, ""44"": 1, ""46"": 1, ""47"": 11, ""48"": 1, ""49"": 16, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 21, ""54"": 1, ""55"": 26, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1}"
15,f0446_03,395,60,316,79,"{""0"": 13, ""1"": 13, ""2"": 12, ""3"": 12, ""4"": 13, ""5"": 12, ""6"": 13, ""7"": 13, ""8"": 12, ""9"": 13, ""10"": 2, ""11"": 2, ""12"": 20, ""13"": 2, ""14"": 1, ""15"": 9, ""16"": 1, ""17"": 1, ""18"": 9, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 3, ""23"": 3, ""24"": 25, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 17, ""29"": 5, ""30"": 13, ""31"": 1, ""32"": 2, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 14, ""37"": 3, ""38"": 1, ""39"": 11, ""40"": 20, ""41"": 1, ""42"": 3, ""43"": 7, ""44"": 2, ""45"": 1, ""46"": 1, ""47"": 6, ""48"": 1, ""49"": 17, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 11, ""54"": 1, ""55"": 25, ""56"": 1, ""58"": 1, ""59"": 1, ""61"": 1}"
16,f0451_44,419,62,335,84,"{""0"": 11, ""1"": 11, ""2"": 12, ""3"": 12, ""4"": 12, ""5"": 10, ""6"": 11, ""7"": 12, ""8"": 11, ""9"": 11, ""10"": 2, ""11"": 2, ""12"": 8, ""13"": 2, ""14"": 1, ""15"": 10, ""16"": 1, ""17"": 1, ""18"": 13, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 3, ""24"": 26, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 22, ""29"": 5, ""30"": 11, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 14, ""37"": 4, ""38"": 1, ""39"": 11, ""40"": 39, ""41"": 1, ""42"": 3, ""43"": 10, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 9, ""48"": 1, ""49"": 14, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 18, ""54"": 1, ""55"": 26, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
17,f0516_45,299,58,239,60,"{""0"": 12, ""1"": 13, ""2"": 13, ""3"": 13, ""4"": 13, ""5"": 13, ""6"": 13, ""7"": 13, ""8"": 12, ""9"": 12, ""11"": 1, ""12"": 5, ""13"": 2, ""14"": 1, ""15"": 4, ""16"": 1, ""17"": 1, ""18"": 10, ""19"": 2, ""20"": 1, ""21"": 1, ""22"": 5, ""23"": 3, ""24"": 15, ""25"": 4, ""26"": 1, ""27"": 1, ""28"": 16, ""29"": 2, ""30"": 4, ""31"": 2, ""32"": 3, ""33"": 1, ""34"": 1, ""35"": 1, ""36"": 6, ""37"": 3, ""38"": 1, ""39"": 10, ""40"": 20, ""41"": 1, ""42"": 2, ""43"": 6, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 10, ""49"": 4, ""50"": 1, ""52"": 2, ""53"": 7, ""54"": 1, ""55"": 2, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
18,f0530_15,408,59,326,82,"{""0"": 13, ""1"": 12, ""2"": 13, ""3"": 13, ""4"": 10, ""5"": 12, ""6"": 13, ""7"": 13, ""8"": 13, ""9"": 13, ""10"": 1, ""11"": 2, ""12"": 8, ""13"": 3, ""14"": 1, ""15"": 8, ""16"": 1, ""18"": 17, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 1, ""24"": 20, ""25"": 7, ""26"": 1, ""28"": 21, ""29"": 3, ""30"": 12, ""31"": 2, ""32"": 3, ""33"": 1, ""34"": 2, ""35"": 1, ""36"": 11, ""37"": 4, ""38"": 1, ""39"": 11, ""40"": 38, ""41"": 1, ""42"": 3, ""43"": 7, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 17, ""48"": 1, ""49"": 14, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 17, ""54"": 1, ""55"": 17, ""56"": 1, ""57"": 1, ""58"": 1, ""60"": 1, ""61"": 1}"
19,f0550_24,369,62,295,74,"{""0"": 11, ""1"": 13, ""2"": 13, ""3"": 13, ""4"": 12, ""5"": 12, ""6"": 10, ""7"": 12, ""8"": 13, ""9"": 11, ""10"": 3, ""11"": 2, ""12"": 5, ""13"": 2, ""14"": 1, ""15"": 9, ""16"": 1, ""17"": 1, ""18"": 6, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 7, ""23"": 3, ""24"": 24, ""25"": 7, ""26"": 1, ""27"": 2, ""28"": 16, ""29"": 4, ""30"": 10, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 9, ""37"": 4, ""38"": 1, ""39"": 11, ""40"": 26, ""41"": 1, ""42"": 3, ""43"": 8, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 4, ""48"": 1, ""49"": 14, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 14, ""54"": 1, ""55"": 18, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
20,f0596_26,395,59,316,79,"{""0"": 12, ""1"": 12, ""2"": 13, ""3"": 13, ""4"": 13, ""5"": 13, ""6"": 12, ""7"": 13, ""8"": 12, ""9"": 11, ""10"": 2, ""11"": 2, ""12"": 9, ""14"": 1, ""15"": 7, ""16"": 1, ""17"": 1, ""18"": 13, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 7, ""23"": 1, ""24"": 23, ""25"": 6, ""26"": 1, ""27"": 1, ""28"": 22, ""29"": 5, ""30"": 11, ""31"": 2, ""32"": 3, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 14, ""37"": 4, ""38"": 1, ""39"": 12, ""40"": 37, ""41"": 1, ""42"": 3, ""43"": 10, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 9, ""48"": 1, ""49"": 12, ""50"": 1, ""51"": 1, ""52"": 1, ""54"": 1, ""55"": 27, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""61"": 1}"
21,f0645_45,294,55,235,59,"{""0"": 11, ""1"": 12, ""2"": 8, ""3"": 7, ""4"": 11, ""5"": 5, ""6"": 4, ""7"": 13, ""8"": 4, ""9"": 9, ""10"": 12, ""11"": 2, ""12"": 3, ""13"": 2, ""14"": 1, ""15"": 9, ""16"": 1, ""18"": 11, ""19"": 1, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 3, ""24"": 24, ""25"": 7, ""26"": 1, ""27"": 7, ""28"": 9, ""29"": 6, ""30"": 9, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 3, ""35"": 1, ""37"": 4, ""39"": 5, ""40"": 22, ""41"": 1, ""42"": 1, ""43"": 4, ""44"": 2, ""45"": 1, ""46"": 1, ""47"": 6, ""48"": 1, ""49"": 12, ""50"": 1, ""52"": 1, ""53"": 1, ""55"": 12, ""56"": 1, ""57"": 2, ""58"": 1, ""59"": 1}"
22,f0706_13,403,57,322,81,"{""0"": 11, ""1"": 12, ""2"": 9, ""3"": 11, ""4"": 10, ""5"": 10, ""6"": 11, ""7"": 13, ""8"": 10, ""9"": 12, ""10"": 12, ""11"": 2, ""12"": 7, ""13"": 10, ""15"": 9, ""16"": 1, ""17"": 1, ""18"": 8, ""19"": 2, ""20"": 1, ""21"": 1, ""22"": 8, ""23"": 16, ""24"": 25, ""25"": 7, ""26"": 1, ""27"": 16, ""28"": 21, ""29"": 5, ""30"": 10, ""31"": 2, ""32"": 2, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 3, ""37"": 4, ""38"": 1, ""39"": 3, ""40"": 40, ""41"": 1, ""43"": 10, ""45"": 1, ""47"": 16, ""48"": 1, ""49"": 2, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 5, ""54"": 1, ""55"": 25, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""61"": 1}"
23,f0717_46,391,59,313,78,"{""0"": 12, ""1"": 11, ""2"": 11, ""3"": 13, ""4"": 11, ""5"": 11, ""6"": 11, ""7"": 13, ""8"": 13, ""9"": 12, ""10"": 7, ""11"": 2, ""12"": 7, ""13"": 3, ""14"": 1, ""15"": 8, ""16"": 1, ""17"": 1, ""18"": 15, ""19"": 2, ""20"": 1, ""21"": 1, ""22"": 8, ""23"": 15, ""24"": 26, ""25"": 6, ""26"": 1, ""27"": 6, ""28"": 21, ""29"": 4, ""30"": 12, ""31"": 2, ""32"": 3, ""33"": 1, ""34"": 4, ""36"": 8, ""37"": 4, ""39"": 9, ""40"": 29, ""41"": 1, ""42"": 1, ""43"": 9, ""44"": 2, ""46"": 1, ""47"": 9, ""48"": 1, ""49"": 1, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 4, ""54"": 1, ""55"": 25, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
24,f0765_33,400,56,320,80,"{""0"": 13, ""1"": 14, ""2"": 13, ""3"": 13, ""4"": 13, ""5"": 13, ""6"": 13, ""7"": 11, ""8"": 11, ""9"": 12, ""10"": 2, ""11"": 2, ""12"": 9, ""13"": 2, ""14"": 1, ""15"": 9, ""16"": 1, ""18"": 16, ""19"": 2, ""21"": 2, ""22"": 6, ""23"": 3, ""24"": 20, ""25"": 7, ""28"": 21, ""29"": 7, ""30"": 11, ""31"": 2, ""32"": 2, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 9, ""37"": 3, ""38"": 1, ""39"": 11, ""40"": 29, ""42"": 1, ""43"": 9, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 11, ""48"": 1, ""49"": 16, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 18, ""54"": 1, ""55"": 23, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1}"
25,f0772_14,387,60,310,77,"{""0"": 11, ""1"": 11, ""2"": 11, ""3"": 10, ""4"": 11, ""5"": 11, ""6"": 11, ""7"": 13, ""8"": 10, ""9"": 9, ""10"": 2, ""11"": 2, ""12"": 7, ""13"": 3, ""15"": 7, ""16"": 1, ""17"": 1, ""18"": 14, ""19"": 2, ""20"": 1, ""21"": 4, ""22"": 8, ""23"": 3, ""24"": 23, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 17, ""29"": 5, ""30"": 13, ""31"": 2, ""32"": 3, ""34"": 4, ""35"": 1, ""36"": 12, ""37"": 4, ""38"": 1, ""39"": 11, ""40"": 32, ""41"": 1, ""42"": 3, ""43"": 9, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 10, ""48"": 1, ""49"": 12, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 15, ""54"": 1, ""55"": 22, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
26,f0800_00,277,53,222,55,"{""0"": 11, ""1"": 13, ""2"": 8, ""3"": 7, ""4"": 12, ""5"": 8, ""6"": 10, ""7"": 12, ""8"": 13, ""9"": 10, ""11"": 2, ""12"": 2, ""13"": 1, ""15"": 2, ""16"": 1, ""17"": 1, ""18"": 6, ""21"": 1, ""22"": 6, ""23"": 2, ""24"": 12, ""25"": 3, ""26"": 1, ""27"": 1, ""28"": 15, ""29"": 5, ""30"": 10, ""31"": 1, ""32"": 2, ""33"": 1, ""34"": 1, ""36"": 9, ""37"": 3, ""38"": 1, ""39"": 9, ""40"": 20, ""42"": 1, ""43"": 1, ""44"": 1, ""45"": 1, ""47"": 16, ""48"": 1, ""49"": 14, ""50"": 1, ""52"": 2, ""53"": 9, ""54"": 1, ""55"": 2, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
27,f0831_15,383,62,306,77,"{""0"": 12, ""1"": 13, ""2"": 12, ""3"": 11, ""4"": 12, ""5"": 11, ""6"": 12, ""7"": 13, ""8"": 13, ""9"": 12, ""10"": 3, ""11"": 1, ""12"": 8, ""13"": 2, ""14"": 2, ""15"": 8, ""16"": 1, ""17"": 3, ""18"": 15, ""19"": 1, ""20"": 1, ""21"": 5, ""22"": 5, ""23"": 6, ""24"": 25, ""25"": 3, ""26"": 1, ""27"": 19, ""28"": 19, ""29"": 7, ""30"": 10, ""31"": 3, ""32"": 2, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 9, ""37"": 4, ""38"": 1, ""39"": 11, ""40"": 22, ""41"": 1, ""42"": 1, ""43"": 14, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 6, ""48"": 1, ""49"": 4, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 1, ""54"": 1, ""55"": 18, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
