client_index,writer_id,total_samples,n_classes,train_samples,test_samples,label_histogram
16,f0691_00,234,58,187,47,"{""0"": 6, ""1"": 13, ""2"": 7, ""3"": 12, ""4"": 9, ""5"": 5, ""6"": 8, ""7"": 11, ""8"": 9, ""9"": 9, ""10"": 5, ""11"": 3, ""12"": 3, ""13"": 5, ""14"": 2, ""16"": 1, ""17"": 2, ""18"": 4, ""19"": 2, ""20"": 1, ""21"": 1, ""22"": 4, ""23"": 9, ""24"": 11, ""25"": 5, ""27"": 1, ""28"": 16, ""29"": 8, ""30"": 7, ""31"": 5, ""32"": 2, ""33"": 1, ""34"": 2, ""35"": 1, ""36"": 2, ""37"": 2, ""38"": 1, ""39"": 3, ""40"": 9, ""41"": 1, ""42"": 1, ""43"": 2, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 1, ""49"": 2, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 2, ""55"": 6, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
17,f0717_46,391,59,313,78,"{""0"": 12, ""1"": 11, ""2"": 11, ""3"": 13, ""4"": 11, ""5"": 11, ""6"": 11, ""7"": 13, ""8"": 13, ""9"": 12, ""10"": 7, ""11"": 2, ""12"": 7, ""13"": 3, ""14"": 1, ""15"": 8, ""16"": 1, ""17"": 1, ""18"": 15, ""19"": 2, ""20"": 1, ""21"": 1, ""22"": 8, ""23"": 15, ""24"": 26, ""25"": 6, ""26"": 1, ""27"": 6, ""28"": 21, ""29"": 4, ""30"": 12, ""31"": 2, ""32"": 3, ""33"": 1, ""34"": 4, ""36"": 8, ""37"": 4, ""39"": 9, ""40"": 29, ""41"": 1, ""42"": 1, ""43"": 9, ""44"": 2, ""46"": 1, ""47"": 9, ""48"": 1, ""49"": 1, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 4, ""54"": 1, ""55"": 25, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
18,f0718_13,335,61,268,67,"{""0"": 13, ""1"": 12, ""2"": 13, ""3"": 11, ""4"": 11, ""5"": 11, ""6"": 11, ""7"": 13, ""8"": 8, ""9"": 10, ""10"": 12, ""11"": 4, ""12"": 6, ""13"": 8, ""14"": 18, ""15"": 9, ""16"": 1, ""17"": 6, ""18"": 16, ""19"": 2, ""20"": 1, ""21"": 10, ""22"": 7, ""23"": 10, ""24"": 17, ""25"": 7, ""26"": 1, ""27"": 9, ""28"": 13, ""29"": 8, ""30"": 11, ""32"": 3, ""33"": 1, ""34"": 1, ""35"": 1, ""36"": 2, ""37"": 2, ""38"": 1, ""39"": 3, ""40"": 2, ""41"": 1, ""42"": 2, ""43"": 3, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 1, ""48"": 1, ""49"": 1, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 1, ""54"": 1, ""55"": 6, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
19,f0768_20,314,45,251,63,"{""0"": 12, ""1"": 14, ""2"": 9, ""3"": 12, ""4"": 9, ""5"": 8, ""6"": 9, ""7"": 12, ""8"": 10, ""9"": 9, ""10"": 10, ""11"": 1, ""12"": 8, ""13"": 1, ""14"": 12, ""15"": 9, ""18"": 7, ""19"": 1, ""21"": 2, ""22"": 7, ""23"": 5, ""24"": 22, ""25"": 6, ""26"": 1, ""27"": 11, ""28"": 16, ""29"": 1, ""30"": 12, ""31"": 1, ""32"": 2, ""34"": 2, ""35"": 1, ""36"": 2, ""37"": 1, ""39"": 6, ""40"": 21, ""42"": 2, ""43"": 5, ""44"": 1, ""47"": 10, ""49"": 1, ""51"": 1, ""52"": 2, ""55"": 19, ""60"": 1}"
20,f0827_09,384,59,307,77,"{""0"": 12, ""1"": 13, ""2"": 13, ""3"": 12, ""4"": 13, ""5"": 11, ""6"": 12, ""7"": 13, ""8"": 11, ""9"": 12, ""10"": 2, ""11"": 2, ""12"": 7, ""13"": 2, ""14"": 1, ""15"": 9, ""16"": 1, ""17"": 1, ""18"": 13, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 3, ""24"": 24, ""25"": 5, ""26"": 1, ""28"": 18, ""29"": 6, ""30"": 10, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 9, ""37"": 4, ""38"": 1, ""39"": 9, ""40"": 31, ""42"": 3, ""43"": 6, ""44"": 2, ""46"": 1, ""47"": 10, ""48"": 1, ""49"": 14, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 15, ""54"": 1, ""55"": 15, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
21,f0845_22,302,60,242,60,"{""0"": 13, ""1"": 12, ""2"": 13, ""3"": 13, ""4"": 12, ""5"": 12, ""6"": 13, ""7"": 13, ""8"": 13, ""9"": 13, ""10"": 2, ""11"": 1, ""12"": 3, ""13"": 1, ""14"": 1, ""15"": 2, ""16"": 1, ""17"": 1, ""18"": 10, ""19"": 1, ""20"": 1, ""21"": 1, ""22"": 8, ""23"": 2, ""24"": 16, ""25"": 5, ""26"": 1, ""27"": 1, ""28"": 19, ""29"": 6, ""30"": 6, ""31"": 2, ""32"": 2, ""33"": 1, ""34"": 1, ""35"": 1, ""36"": 3, ""37"": 2, ""38"": 1, ""39"": 6, ""40"": 25, ""41"": 1, ""42"": 2, ""43"": 8, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 3, ""48"": 1, ""49"": 4, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 3, ""54"": 1, ""55"": 9, ""56"": 1, ""57"": 1, ""59"": 1, ""60"": 1}"
22,f0890_35,350,55,280,70,"{""0"": 13, ""1"": 12, ""2"": 13, ""3"": 13, ""4"": 13, ""5"": 13, ""6"": 12, ""7"": 13, ""8"": 13, ""9"": 13, ""10"": 2, ""12"": 7, ""13"": 1, ""14"": 1, ""15"": 6, ""16"": 1, ""17"": 1, ""18"": 8, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 7, ""23"": 2, ""24"": 26, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 20, ""29"": 8, ""30"": 10, ""31"": 3, ""32"": 1, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 5, ""37"": 3, ""38"": 1, ""39"": 9, ""40"": 4, ""41"": 1, ""42"": 2, ""43"": 8, ""44"": 2, ""46"": 1, ""47"": 10, ""49"": 15, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 11, ""54"": 1, ""55"": 21, ""59"": 1, ""61"": 1}"
23,f0899_05,316,60,253,63,"{""0"": 13, ""1"": 12, ""2"": 11, ""3"": 13, ""4"": 9, ""5"": 8, ""6"": 10, ""7"": 12, ""8"": 12, ""9"": 8, ""10"": 12, ""11"": 2, ""12"": 7, ""13"": 5, ""14"": 1, ""15"": 6, ""16"": 1, ""17"": 1, ""18"": 11, ""19"": 1, ""20"": 1, ""21"": 2, ""22"": 7, ""23"": 11, ""24"": 16, ""25"": 5, ""27"": 9, ""28"": 14, ""29"": 2, ""30"": 7, ""31"": 2, ""32"": 3, ""34"": 2, ""35"": 1, ""36"": 1, ""37"": 3, ""38"": 1, ""39"": 1, ""40"": 18, ""41"": 1, ""42"": 1, ""43"": 8, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 6, ""48"": 1, ""49"": 1, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 3, ""54"": 1, ""55"": 21, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
24,f0919_47,393,60,314,79,"{""0"": 12, ""1"": 10, ""2"": 9, ""3"": 12, ""4"": 12, ""5"": 11, ""6"": 12, ""7"": 13, ""8"": 12, ""9"": 11, ""10"": 2, ""11"": 2, ""12"": 6, ""13"": 2, ""14"": 1, ""15"": 4, ""16"": 1, ""17"": 1, ""18"": 11, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 3, ""24"": 20, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 20, ""29"": 10, ""30"": 12, ""31"": 1, ""32"": 3, ""34"": 4, ""35"": 1, ""36"": 10, ""37"": 4, ""38"": 1, ""39"": 11, ""40"": 36, ""41"": 1, ""42"": 2, ""43"": 8, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 11, ""48"": 1, ""49"": 16, ""50"": 1, ""52"": 1, ""53"": 20, ""54"": 1, ""55"": 20, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
25,f0938_10,398,60,318,80,"{""0"": 13, ""1"": 13, ""2"": 13, ""3"": 13, ""4"": 13, ""5"": 6, ""6"": 13, ""7"": 12, ""8"": 13, ""9"": 13, ""10"": 14, ""11"": 5, ""12"": 8, ""13"": 13, ""14"": 25, ""15"": 10, ""16"": 1, ""17"": 10, ""18"": 10, ""19"": 1, ""20"": 1, ""21"": 8, ""22"": 8, ""23"": 18, ""24"": 25, ""25"": 7, ""26"": 1, ""27"": 19, ""28"": 20, ""29"": 27, ""30"": 11, ""31"": 2, ""32"": 3, ""33"": 1, ""34"": 2, ""35"": 1, ""36"": 1, ""39"": 1, ""40"": 1, ""41"": 1, ""42"": 1, ""43"": 1, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 2, ""48"": 1, ""49"": 1, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 1, ""54"": 1, ""55"": 1, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
26,f0975_48,302,56,242,60,"{""0"": 12, ""1"": 13, ""2"": 10, ""3"": 12, ""4"": 12, ""5"": 10, ""6"": 10, ""7"": 13, ""8"": 12, ""9"": 13, ""10"": 1, ""11"": 2, ""12"": 10, ""13"": 2, ""14"": 1, ""15"": 7, ""16"": 1, ""17"": 1, ""18"": 6, ""19"": 1, ""20"": 1, ""21"": 2, ""22"": 4, ""23"": 3, ""24"": 16, ""25"": 5, ""26"": 1, ""27"": 1, ""28"": 8, ""29"": 5, ""30"": 7, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 9, ""37"": 3, ""38"": 1, ""39"": 9, ""40"": 9, ""41"": 1, ""42"": 1, ""43"": 6, ""44"": 1, ""46"": 1, ""47"": 7, ""48"": 1, ""49"": 10, ""50"": 1, ""53"": 9, ""55"": 16, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1}"
27,f0993_30,352,61,282,70,"{""0"": 13, ""1"": 13, ""2"": 12, ""3"": 13, ""4"": 13, ""5"": 11, ""6"": 13, ""7"": 11, ""8"": 13, ""9"": 13, ""10"": 2, ""11"": 2, ""12"": 6, ""13"": 2, ""14"": 1, ""15"": 5, ""16"": 1, ""17"": 1, ""18"": 4, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 5, ""23"": 3, ""24"": 15, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 18, ""29"": 4, ""30"": 11, ""31"": 3, ""32"": 2, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 10, ""37"": 4, ""38"": 1, ""39"": 7, ""40"": 28, ""41"": 1, ""42"": 1, ""43"": 4, ""44"": 1, ""46"": 1, ""47"": 8, ""48"": 1, ""49"": 15, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 13, ""54"": 1, ""55"": 17, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
28,f0994_46,253,48,202,51,"{""0"": 10, ""1"": 13, ""2"": 10, ""3"": 9, ""4"": 9, ""5"": 8, ""6"": 8, ""7"": 9, ""8"": 10, ""9"": 9, ""10"": 10, ""11"": 1, ""12"": 8, ""13"": 2, ""14"": 1, ""16"": 1, ""17"": 1, ""18"": 1, ""19"": 4, ""20"": 1, ""21"": 2, ""22"": 7, ""23"": 9, ""24"": 15, ""25"": 9, ""27"": 11, ""28"": 3, ""29"": 4, ""30"": 4, ""31"": 3, ""32"": 1, ""33"": 1, ""34"": 3, ""37"": 2, ""38"": 2, ""39"": 2, ""40"": 18, ""43"": 2, ""44"": 1, ""45"": 1, ""47"": 7, ""53"": 1, ""54"": 1, ""55"": 15, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1}"
