client_index,quantity_group,writer_id,total_samples,n_classes,train_samples,test_samples,label_histogram
10,large,f0070_14,433,62,346,87,"{""0"": 13, ""1"": 13, ""2"": 11, ""3"": 13, ""4"": 13, ""5"": 12, ""6"": 12, ""7"": 12, ""8"": 11, ""9"": 13, ""10"": 2, ""11"": 2, ""12"": 7, ""13"": 2, ""14"": 1, ""15"": 9, ""16"": 1, ""17"": 1, ""18"": 14, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 2, ""24"": 26, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 22, ""29"": 7, ""30"": 11, ""31"": 2, ""32"": 2, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 13, ""37"": 4, ""38"": 2, ""39"": 10, ""40"": 38, ""41"": 1, ""42"": 3, ""43"": 8, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 20, ""48"": 1, ""49"": 16, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 21, ""54"": 1, ""55"": 20, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
11,large,f0099_18,423,58,338,85,"{""0"": 12, ""1"": 12, ""2"": 13, ""3"": 12, ""4"": 12, ""5"": 13, ""6"": 13, ""7"": 13, ""8"": 13, ""9"": 12, ""10"": 2, ""12"": 8, ""13"": 1, ""14"": 1, ""15"": 9, ""16"": 1, ""17"": 2, ""18"": 17, ""19"": 3, ""20"": 1, ""21"": 2, ""22"": 6, ""23"": 5, ""24"": 26, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 20, ""29"": 6, ""30"": 10, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 4, ""36"": 13, ""37"": 4, ""38"": 1, ""39"": 11, ""40"": 31, ""41"": 1, ""42"": 2, ""43"": 9, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 15, ""48"": 1, ""49"": 13, ""50"": 1, ""52"": 3, ""53"": 20, ""54"": 1, ""55"": 24, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""61"": 1}"
12,large,f0102_31,416,59,333,83,"{""0"": 13, ""1"": 13, ""2"": 13, ""3"": 13, ""4"": 13, ""5"": 13, ""6"": 13, ""7"": 12, ""8"": 11, ""9"": 13, ""10"": 2, ""11"": 2, ""12"": 8, ""13"": 1, ""14"": 1, ""15"": 10, ""16"": 1, ""17"": 1, ""18"": 12, ""19"": 2, ""20"": 1, ""21"": 3, ""22"": 7, ""23"": 4, ""24"": 24, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 21, ""29"": 4, ""30"": 11, ""31"": 3, ""32"": 1, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 14, ""37"": 3, ""38"": 1, ""39"": 10, ""40"": 35, ""43"": 9, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 15, ""48"": 1, ""49"": 12, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 20, ""54"": 1, ""55"": 23, ""56"": 1, ""57"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
13,large,f0110_48,426,61,341,85,"{""0"": 13, ""1"": 11, ""2"": 11, ""3"": 10, ""4"": 12, ""5"": 11, ""6"": 11, ""7"": 11, ""8"": 13, ""9"": 13, ""10"": 2, ""11"": 2, ""12"": 8, ""13"": 3, ""14"": 1, ""15"": 7, ""16"": 1, ""17"": 1, ""18"": 10, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 3, ""24"": 25, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 22, ""29"": 6, ""30"": 11, ""31"": 4, ""32"": 3, ""34"": 1, ""35"": 1, ""36"": 14, ""37"": 4, ""38"": 1, ""39"": 10, ""40"": 40, ""41"": 1, ""42"": 3, ""43"": 10, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 21, ""48"": 1, ""49"": 16, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 19, ""54"": 1, ""55"": 24, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
14,large,f0115_34,421,60,337,84,"{""0"": 13, ""1"": 12, ""2"": 11, ""3"": 13, ""4"": 12, ""5"": 9, ""6"": 10, ""7"": 13, ""8"": 13, ""9"": 10, ""10"": 15, ""11"": 5, ""12"": 8, ""13"": 12, ""14"": 36, ""15"": 9, ""16"": 1, ""17"": 10, ""18"": 7, ""19"": 2, ""20"": 1, ""21"": 9, ""22"": 7, ""23"": 18, ""24"": 26, ""25"": 7, ""26"": 1, ""27"": 18, ""28"": 21, ""29"": 24, ""30"": 12, ""31"": 1, ""32"": 3, ""33"": 1, ""34"": 4, ""37"": 2, ""38"": 1, ""39"": 1, ""40"": 1, ""41"": 1, ""42"": 1, ""43"": 1, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 16, ""48"": 1, ""49"": 1, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 1, ""54"": 1, ""55"": 7, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
15,large,f0119_44,437,61,350,87,"{""0"": 12, ""1"": 16, ""2"": 13, ""3"": 13, ""4"": 10, ""5"": 13, ""6"": 13, ""7"": 13, ""8"": 13, ""9"": 11, ""10"": 1, ""11"": 2, ""12"": 6, ""13"": 2, ""14"": 1, ""15"": 11, ""16"": 1, ""17"": 1, ""18"": 8, ""19"": 4, ""20"": 1, ""21"": 2, ""22"": 2, ""23"": 3, ""24"": 25, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 21, ""29"": 7, ""30"": 12, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 12, ""37"": 4, ""38"": 1, ""39"": 11, ""40"": 35, ""41"": 1, ""42"": 3, ""43"": 10, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 27, ""49"": 18, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 20, ""54"": 1, ""55"": 23, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
16,large,f0155_13,442,61,354,88,"{""0"": 13, ""1"": 13, ""2"": 12, ""3"": 13, ""4"": 13, ""5"": 12, ""6"": 12, ""7"": 13, ""8"": 13, ""9"": 13, ""10"": 2, ""11"": 2, ""12"": 8, ""13"": 2, ""14"": 1, ""15"": 9, ""16"": 1, ""17"": 1, ""18"": 8, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 4, ""24"": 26, ""25"": 7, ""27"": 1, ""28"": 18, ""29"": 26, ""30"": 12, ""31"": 2, ""32"": 3, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 11, ""37"": 4, ""38"": 1, ""39"": 11, ""40"": 39, ""41"": 1, ""42"": 5, ""43"": 10, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 27, ""48"": 1, ""49"": 15, ""50"": 1, ""51"": 1, ""52"": 3, ""53"": 21, ""54"": 1, ""55"": 3, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
17,large,f0164_32,430,60,344,86,"{""0"": 11, ""1"": 13, ""2"": 12, ""3"": 13, ""4"": 12, ""5"": 12, ""6"": 13, ""7"": 11, ""8"": 13, ""9"": 12, ""10"": 2, ""11"": 2, ""12"": 8, ""13"": 2, ""14"": 1, ""15"": 10, ""16"": 1, ""17"": 1, ""18"": 4, ""19"": 2, ""20"": 1, ""21"": 3, ""22"": 8, ""23"": 1, ""24"": 24, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 21, ""29"": 2, ""30"": 9, ""31"": 4, ""32"": 3, ""33"": 1, ""34"": 5, ""35"": 1, ""36"": 14, ""37"": 4, ""38"": 1, ""39"": 10, ""40"": 40, ""41"": 1, ""42"": 3, ""43"": 11, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 23, ""49"": 18, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 20, ""54"": 1, ""55"": 25, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""61"": 1}"
18,large,f0190_12,428,61,342,86,"{""0"": 13, ""1"": 11, ""2"": 12, ""3"": 13, ""4"": 12, ""5"": 11, ""6"": 13, ""7"": 13, ""8"": 13, ""9"": 12, ""10"": 3, ""11"": 1, ""12"": 8, ""13"": 2, ""14"": 1, ""15"": 4, ""17"": 1, ""18"": 12, ""19"": 2, ""20"": 1, ""21"": 1, ""22"": 8, ""23"": 4, ""24"": 25, ""25"": 7, ""26"": 1, ""27"": 2, ""28"": 22, ""29"": 11, ""30"": 11, ""31"": 3, ""32"": 2, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 12, ""37"": 4, ""38"": 1, ""39"": 10, ""40"": 36, ""41"": 1, ""42"": 2, ""43"": 12, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 22, ""48"": 1, ""49"": 14, ""50"": 1, ""51"": 1, ""52"": 3, ""53"": 18, ""54"": 1, ""55"": 19, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
19,large,f0197_34,416,61,333,83,"{""0"": 12, ""1"": 13, ""2"": 13, ""3"": 13, ""4"": 13, ""5"": 11, ""6"": 12, ""7"": 13, ""8"": 12, ""9"": 12, ""10"": 3, ""11"": 2, ""12"": 9, ""13"": 2, ""14"": 1, ""15"": 8, ""16"": 1, ""17"": 1, ""18"": 6, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 11, ""23"": 3, ""24"": 26, ""25"": 7, ""26"": 1, ""27"": 2, ""28"": 20, ""29"": 5, ""30"": 11, ""31"": 3, ""32"": 3, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 10, ""37"": 4, ""38"": 1, ""39"": 10, ""40"": 27, ""41"": 1, ""42"": 3, ""43"": 9, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 24, ""48"": 1, ""49"": 12, ""50"": 1, ""52"": 2, ""53"": 20, ""54"": 1, ""55"": 22, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
20,large,f0199_01,433,61,346,87,"{""0"": 12, ""1"": 13, ""2"": 12, ""3"": 13, ""4"": 10, ""5"": 12, ""6"": 12, ""7"": 13, ""8"": 12, ""9"": 12, ""10"": 16, ""11"": 4, ""12"": 8, ""13"": 11, ""14"": 32, ""15"": 10, ""16"": 1, ""17"": 9, ""18"": 4, ""19"": 2, ""20"": 1, ""21"": 10, ""22"": 9, ""23"": 17, ""24"": 27, ""25"": 7, ""27"": 21, ""28"": 22, ""29"": 26, ""30"": 10, ""31"": 2, ""32"": 2, ""33"": 1, ""34"": 4, ""35"": 1, ""36"": 1, ""37"": 1, ""38"": 1, ""39"": 1, ""40"": 1, ""41"": 1, ""42"": 2, ""43"": 1, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 23, ""48"": 1, ""49"": 1, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 1, ""54"": 1, ""55"": 6, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
21,large,f0203_21,426,57,341,85,"{""0"": 12, ""1"": 12, ""2"": 13, ""3"": 12, ""4"": 12, ""5"": 12, ""6"": 13, ""7"": 13, ""8"": 12, ""9"": 12, ""10"": 1, ""11"": 2, ""12"": 8, ""13"": 2, ""14"": 1, ""15"": 9, ""17"": 1, ""18"": 11, ""19"": 1, ""20"": 1, ""21"": 9, ""22"": 8, ""23"": 3, ""24"": 27, ""25"": 6, ""27"": 1, ""28"": 22, ""29"": 5, ""30"": 11, ""31"": 1, ""32"": 3, ""33"": 1, ""34"": 3, ""35"": 1, ""36"": 14, ""37"": 4, ""38"": 1, ""39"": 10, ""40"": 36, ""41"": 1, ""42"": 2, ""43"": 11, ""44"": 1, ""46"": 1, ""47"": 14, ""48"": 1, ""49"": 14, ""51"": 1, ""52"": 2, ""53"": 20, ""54"": 1, ""55"": 26, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""61"": 1}"
22,large,f0246_12,423,59,338,85,"{""0"": 13, ""1"": 13, ""2"": 12, ""3"": 13, ""4"": 11, ""5"": 10, ""6"": 12, ""7"": 13, ""8"": 13, ""9"": 13, ""10"": 2, ""11"": 2, ""12"": 8, ""13"": 2, ""14"": 1, ""15"": 7, ""16"": 1, ""17"": 1, ""18"": 16, ""19"": 4, ""20"": 1, ""21"": 3, ""22"": 8, ""23"": 3, ""24"": 23, ""25"": 7, ""26"": 1, ""28"": 22, ""29"": 5, ""30"": 12, ""31"": 1, ""32"": 3, ""33"": 1, ""34"": 2, ""35"": 1, ""36"": 14, ""37"": 3, ""38"": 1, ""39"": 11, ""40"": 36, ""41"": 1, ""42"": 4, ""43"": 8, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 12, ""48"": 1, ""49"": 15, ""50"": 1, ""51"": 1, ""52"": 1, ""53"": 21, ""55"": 24, ""56"": 2, ""57"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
23,large,f0254_46,429,61,343,86,"{""0"": 11, ""1"": 13, ""2"": 13, ""3"": 13, ""4"": 13, ""5"": 13, ""6"": 13, ""7"": 11, ""8"": 13, ""9"": 12, ""10"": 2, ""11"": 2, ""12"": 7, ""13"": 2, ""14"": 1, ""15"": 6, ""16"": 1, ""17"": 1, ""18"": 10, ""19"": 2, ""20"": 1, ""21"": 1, ""22"": 7, ""23"": 3, ""24"": 23, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 22, ""29"": 5, ""30"": 12, ""31"": 1, ""32"": 3, ""33"": 1, ""34"": 2, ""35"": 1, ""36"": 12, ""37"": 4, ""38"": 1, ""39"": 11, ""40"": 36, ""42"": 3, ""43"": 10, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 24, ""48"": 1, ""49"": 14, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 20, ""54"": 1, ""55"": 29, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
24,large,f0255_48,418,59,334,84,"{""0"": 13, ""1"": 14, ""2"": 13, ""3"": 13, ""4"": 13, ""5"": 13, ""6"": 12, ""7"": 13, ""8"": 13, ""9"": 12, ""11"": 2, ""12"": 8, ""13"": 2, ""15"": 10, ""16"": 1, ""17"": 1, ""18"": 7, ""19"": 2, ""20"": 1, ""21"": 2, ""22"": 8, ""23"": 18, ""24"": 25, ""25"": 7, ""26"": 1, ""28"": 22, ""29"": 7, ""30"": 11, ""31"": 5, ""32"": 2, ""33"": 1, ""34"": 2, ""35"": 1, ""36"": 15, ""37"": 3, ""38"": 1, ""39"": 10, ""40"": 33, ""41"": 1, ""42"": 3, ""43"": 5, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 22, ""48"": 1, ""49"": 1, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 17, ""54"": 1, ""55"": 17, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
25,large,f0256_08,422,61,338,84,"{""0"": 13, ""1"": 13, ""2"": 11, ""3"": 13, ""4"": 13, ""5"": 10, ""6"": 12, ""7"": 13, ""8"": 12, ""9"": 12, ""10"": 2, ""11"": 2, ""12"": 6, ""13"": 1, ""14"": 2, ""15"": 9, ""16"": 1, ""17"": 1, ""18"": 9, ""19"": 2, ""20"": 1, ""21"": 3, ""22"": 8, ""23"": 8, ""24"": 25, ""25"": 7, ""26"": 1, ""27"": 1, ""28"": 22, ""29"": 2, ""30"": 10, ""31"": 4, ""32"": 3, ""33"": 1, ""34"": 2, ""36"": 12, ""37"": 4, ""38"": 1, ""39"": 9, ""40"": 38, ""41"": 1, ""42"": 3, ""43"": 12, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 17, ""48"": 1, ""49"": 9, ""50"": 1, ""51"": 1, ""52"": 2, ""53"": 21, ""54"": 1, ""55"": 25, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
26,large,f0261_06,583,61,466,117,"{""0"": 13, ""1"": 12, ""2"": 12, ""3"": 13, ""4"": 11, ""5"": 13, ""6"": 13, ""7"": 13, ""8"": 11, ""9"": 13, ""10"": 11, ""11"": 5, ""12"": 7, ""13"": 13, ""14"": 23, ""15"": 18, ""16"": 1, ""17"": 7, ""18"": 18, ""19"": 3, ""20"": 1, ""21"": 9, ""22"": 10, ""23"": 18, ""24"": 40, ""25"": 12, ""26"": 1, ""27"": 17, ""28"": 33, ""29"": 44, ""30"": 20, ""31"": 2, ""32"": 5, ""33"": 1, ""34"": 7, ""35"": 1, ""36"": 10, ""37"": 2, ""38"": 1, ""39"": 8, ""40"": 31, ""41"": 1, ""42"": 2, ""43"": 10, ""44"": 1, ""45"": 1, ""46"": 1, ""47"": 18, ""48"": 1, ""49"": 10, ""50"": 1, ""52"": 1, ""53"": 19, ""54"": 1, ""55"": 7, ""56"": 1, ""57"": 1, ""58"": 1, ""59"": 1, ""60"": 1, ""61"": 1}"
